query,sql
Countries having Machine Readability Score between 0.3 and 0.6,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.3 AND machine_readability_score < 0.6
count of Labor force participation rate by sex and age in 2018.,SELECT count(labor_force_participation_rate_by_sex_and_age) FROM spi_index_labelled_vFinal WHERE date = 2018
Find the minimum of Good Health and Well-being in Latin America & Caribbean in 2014?,SELECT min(good_health_and_well-being) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean' AND date = 2014
average of Institutional Statistics in Middle East & North Africa in 2014?,SELECT avg(institutional_statistics) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa' AND date = 2014
Countries having Download Options Score between 0.3 and 0.4,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.3 AND download_options_score < 0.4
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME of Kenya in 2016",SELECT availability_of_mortality_rate_under-5_(per_1000_live_births)_data_meeting_quality_standards_according_to_un_igme FROM spi_index_labelled_vFinal WHERE country = 'Kenya' AND date = 2016
count of Geospatial Data in 2019?,SELECT count(geospatial_data) FROM spi_index_labelled_vFinal WHERE date = 2019
Countries having ODIN Open Data Openness Score between 0.1 and 0.8.,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.1 AND odin_open_data_openness_score < 0.8
Sustainable Cities and Communities of Australia before 2017?,SELECT sustainable_cities_and_communities FROM spi_index_labelled_vFinal WHERE date < 2017 AND country = 'Australia'
List Life on Land of Denmark before 2013.,SELECT life_on_land FROM spi_index_labelled_vFinal WHERE date < 2013 AND country = 'Denmark'
Find the Population & Housing census and Availability of Comparable Poverty headcount ratio at 1.90 a day of Kenya since 2008,"SELECT population_&_housing_census , availability_of_comparable_poverty_headcount_ratio_at_1.90_a_day FROM spi_index_labelled_vFinal WHERE date > 2008 AND country = 'Kenya'"
What is the Countries having Data Products Score between 70 and 90?,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 70 AND data_products_score < 90
SPI Overall Score of Vietnam in 2016.,SELECT spi_overall_score FROM spi_index_labelled_vFinal WHERE country = 'Vietnam' AND date = 2016
Countries having Download Options Score between 0.0 and 0.9?,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.0 AND download_options_score < 0.9
Countries having Non_Proprietary format Score between 0.3 and 0.5 in 2004.,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.3 AND non_proprietary_format_score < 0.5 AND date = 2004
Find the Quality Education and Decent Work and Economic Growth of Poland since 2007.,"SELECT quality_education , decent_work_and_economic_growth FROM spi_index_labelled_vFinal WHERE date > 2007 AND country = 'Poland'"
average of Business/establishment survey?,SELECT avg(business/establishment_survey) FROM spi_index_labelled_vFinal
Countries having Terms of Use Score between 0.2 and 0.3 in 2008,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.2 AND terms_of_use_score < 0.3 AND date = 2008
Download Options Score and Download Options Score of Andorra since 2009?,"SELECT download_options_score , download_options_score FROM spi_index_labelled_vFinal WHERE date > 2009 AND country = 'Andorra'"
Countries having Data Products Score between 10 and 10 in 2010,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 10 AND data_products_score < 10 AND date = 2010
Countries having Data Service Score between 67 and 92 in 2007,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 67 AND data_service_score < 92 AND date = 2007
Countries having SPI Overall Score between 54 and 63 in 2005,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 54 AND spi_overall_score < 63 AND date = 2005
Agriculture survey of Burundi before 2011?,SELECT agriculture_survey FROM spi_index_labelled_vFinal WHERE date < 2011 AND country = 'Burundi'
"total of Industry, Innovation and Infrastructure in 2009?",SELECT sum(industry_innovation_and_infrastructure) FROM spi_index_labelled_vFinal WHERE date = 2009
"List maximum of Industry, Innovation and Infrastructure in Sub-Saharan Africa",SELECT max(industry_innovation_and_infrastructure) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa'
average of Quality Education in Latin America & Caribbean in 2017,SELECT avg(quality_education) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean' AND date = 2017
Top 2 countries by Data Releases?,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'data_releases' DESC LIMIT 2
total of Quality Education in South Asia in 2011,SELECT sum(quality_education) FROM spi_index_labelled_vFinal WHERE region = 'South Asia' AND date = 2011
What is the SPI Overall Score and Non_Proprietary format Score of Lesotho since 2011.,"SELECT spi_overall_score , non_proprietary_format_score FROM spi_index_labelled_vFinal WHERE date > 2011 AND country = 'Lesotho'"
Countries having Machine Readability Score between 0.1 and 0.6 in 2004.,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.1 AND machine_readability_score < 0.6 AND date = 2004
List Terms of Use Score and Data Service Score of Bangladesh since 2014,"SELECT terms_of_use_score , data_service_score FROM spi_index_labelled_vFinal WHERE date > 2014 AND country = 'Bangladesh'"
Non_Proprietary format Score and ODIN Open Data Openness Score of Eswatini since 2011,"SELECT non_proprietary_format_score , odin_open_data_openness_score FROM spi_index_labelled_vFinal WHERE date > 2011 AND country = 'Eswatini'"
Top 30 countries by Climate Action,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'climate_action' DESC LIMIT 30
Safely Managed Drinking Water and Agriculture census of Kuwait since 2013.,"SELECT safely_managed_drinking_water , agriculture_census FROM spi_index_labelled_vFinal WHERE date > 2013 AND country = 'Kuwait'"
total of Censuses only in 2012?,SELECT sum(censuses_only) FROM spi_index_labelled_vFinal WHERE date = 2012
Show me Countries having Machine Readability Score between 0.0 and 0.2?,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.0 AND machine_readability_score < 0.2
total of Agriculture census in 2007?,SELECT sum(agriculture_census) FROM spi_index_labelled_vFinal WHERE date = 2007
minimum of Climate Action in Europe & Central Asia,SELECT min(climate_action) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia'
Tell me the Countries having Data Service Score between 9 and 9?,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 9 AND data_service_score < 9
minimum of Geospatial Data in Latin America & Caribbean in 2010.,SELECT min(geospatial_data) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean' AND date = 2010
Online access of Serbia before 2018.,SELECT online_access FROM spi_index_labelled_vFinal WHERE date < 2018 AND country = 'Serbia'
Countries having Metadata Available Score between 0.3 and 0.4?,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.3 AND metadata_available_score < 0.4
Data Products Score of Malawi in 2004?,SELECT data_products_score FROM spi_index_labelled_vFinal WHERE country = 'Malawi' AND date = 2004
Tell me the Countries having Data Products Score between 3 and 71 in 2004?,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 3 AND data_products_score < 71 AND date = 2004
List Countries having Data Infrastructure Score between 59 and 77 in 2019,SELECT country FROM spi_index_labelled_vFinal WHERE data_infrastructure_score > 59 AND data_infrastructure_score < 77 AND date = 2019
Metadata Available Score and Data Sources Score of Serbia since 2010?,"SELECT metadata_available_score , data_sources_score FROM spi_index_labelled_vFinal WHERE date > 2010 AND country = 'Serbia'"
What is the minimum Business/establishment survey by region.,"SELECT min(business/establishment_survey), region FROM spi_index_labelled_vFinal GROUP BY region"
Countries having Data Infrastructure Score between 27 and 27 in 2011.,SELECT country FROM spi_index_labelled_vFinal WHERE data_infrastructure_score > 27 AND data_infrastructure_score < 27 AND date = 2011
average of Central government accounting status in 2014,SELECT avg(central_government_accounting_status) FROM spi_index_labelled_vFinal WHERE date = 2014
Download Options Score and Data Use Score of Costa Rica since 2019.,"SELECT download_options_score , data_use_score FROM spi_index_labelled_vFinal WHERE date > 2019 AND country = 'Costa Rica'"
Countries having Non_Proprietary format Score between 0.1 and 0.8 in 2013.,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.1 AND non_proprietary_format_score < 0.8 AND date = 2013
maximum of Classification of household consumption in Middle East & North Africa in 2011,SELECT max(classification_of_household_consumption) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa' AND date = 2011
Institutional Statistics of Sudan in 2019?,SELECT institutional_statistics FROM spi_index_labelled_vFinal WHERE country = 'Sudan' AND date = 2019
Find the maximum of Data Releases in Sub-Saharan Africa?,SELECT max(data_releases) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa'
Clean Water and Sanitation and Social Statistics of Grenada since 2019.,"SELECT clean_water_and_sanitation , social_statistics FROM spi_index_labelled_vFinal WHERE date > 2019 AND country = 'Grenada'"
minimum of Economic Statistics in Europe & Central Asia in 2016?,SELECT min(economic_statistics) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia' AND date = 2016
What is the Countries having Data Infrastructure Score between 1 and 3,SELECT country FROM spi_index_labelled_vFinal WHERE data_infrastructure_score > 1 AND data_infrastructure_score < 3
Countries having Data Service Score between 8 and 11?,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 8 AND data_service_score < 11
Health/Demographic survey of Tajikistan before 2016?,SELECT health/demographic_survey FROM spi_index_labelled_vFinal WHERE date < 2016 AND country = 'Tajikistan'
Sustainable Cities and Communities of Mozambique after 2010.,SELECT sustainable_cities_and_communities FROM spi_index_labelled_vFinal WHERE date > 2010 AND country ='Mozambique'
List Countries having Non_Proprietary format Score between 0.0 and 0.2?,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.0 AND non_proprietary_format_score < 0.2
Download Options Score of Grenada in 2013?,SELECT download_options_score FROM spi_index_labelled_vFinal WHERE country = 'Grenada' AND date = 2013
Show me Data Infrastructure Score of Trinidad and Tobago in 2017.,SELECT data_infrastructure_score FROM spi_index_labelled_vFinal WHERE country = 'Trinidad and Tobago' AND date = 2017
Find the Online access of Honduras before 2013.,SELECT online_access FROM spi_index_labelled_vFinal WHERE date < 2013 AND country = 'Honduras'
count of population in Europe & Central Asia in 2019,SELECT count(population) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia' AND date = 2019
Countries having Data Service Score between 9 and 44?,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 9 AND data_service_score < 44
"Online access of Congo, Dem. Rep. after 2019","SELECT online_access FROM spi_index_labelled_vFinal WHERE date > 2019 AND country ='Congo, Dem. Rep.'"
List ODIN Open Data Openness Score of Isle of Man in 2019.,SELECT odin_open_data_openness_score FROM spi_index_labelled_vFinal WHERE country = 'Isle of Man' AND date = 2019
Tell me the Economic Statistics of Greenland before 2007.,SELECT economic_statistics FROM spi_index_labelled_vFinal WHERE date < 2007 AND country = 'Greenland'
ODIN Open Data Openness Score and SPI Overall Score of Gibraltar since 2007?,"SELECT odin_open_data_openness_score , spi_overall_score FROM spi_index_labelled_vFinal WHERE date > 2007 AND country = 'Gibraltar'"
SPI Overall Score and Non_Proprietary format Score of Montenegro since 2014,"SELECT spi_overall_score , non_proprietary_format_score FROM spi_index_labelled_vFinal WHERE date > 2014 AND country = 'Montenegro'"
Top 87 countries by iso3c.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'iso3c' DESC LIMIT 87
Find the Terms of Use Score of Benin in 2017.,SELECT terms_of_use_score FROM spi_index_labelled_vFinal WHERE country = 'Benin' AND date = 2017
Tell me the Terms of Use Score of Antigua and Barbuda in 2013.,SELECT terms_of_use_score FROM spi_index_labelled_vFinal WHERE country = 'Antigua and Barbuda' AND date = 2013
count of Institutional Statistics in Europe & Central Asia in 2014,SELECT count(institutional_statistics) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia' AND date = 2014
total of Business process,SELECT sum(business_process) FROM spi_index_labelled_vFinal
Environmental Statistics of Mali before 2009?,SELECT environmental_statistics FROM spi_index_labelled_vFinal WHERE date < 2009 AND country = 'Mali'
Tell me the Data Service Score and Terms of Use Score of Tajikistan since 2010.,"SELECT data_service_score , terms_of_use_score FROM spi_index_labelled_vFinal WHERE date > 2010 AND country = 'Tajikistan'"
Decent Work and Economic Growth and Reduced Inequality of Bermuda since 2018,"SELECT decent_work_and_economic_growth , reduced_inequality FROM spi_index_labelled_vFinal WHERE date > 2018 AND country = 'Bermuda'"
Find the total of Institutional Statistics in Europe & Central Asia.,SELECT sum(institutional_statistics) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia'
Tell me the Countries having Download Options Score between 0.0 and 0.1 in 2019?,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.0 AND download_options_score < 0.1 AND date = 2019
Countries having Data Service Score between 43 and 49.,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 43 AND data_service_score < 49
count Zero Hunger by region,"SELECT count(zero_hunger), region FROM spi_index_labelled_vFinal GROUP BY region"
System of national accounts in use of Bolivia in 2013,SELECT system_of_national_accounts_in_use FROM spi_index_labelled_vFinal WHERE country = 'Bolivia' AND date = 2013
Top 63 countries by NADA metadata,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'nada_metadata' DESC LIMIT 63
Data Sources Score of Uzbekistan in 2007,SELECT data_sources_score FROM spi_index_labelled_vFinal WHERE country = 'Uzbekistan' AND date = 2007
What is the Classification of household consumption of Denmark in 2016,SELECT classification_of_household_consumption FROM spi_index_labelled_vFinal WHERE country = 'Denmark' AND date = 2016
Find the maximum income by region,"SELECT max(income), region FROM spi_index_labelled_vFinal GROUP BY region"
Countries having Data Products Score between 26 and 55 in 2017,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 26 AND data_products_score < 55 AND date = 2017
Countries having ODIN Open Data Openness Score between 0.1 and 0.3 in 2006?,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.1 AND odin_open_data_openness_score < 0.3 AND date = 2006
Show me minimum of Safely Managed Drinking Water in Sub-Saharan Africa.,SELECT min(safely_managed_drinking_water) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa'
Countries having Data Products Score between 60 and 100,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 60 AND data_products_score < 100
Data Products Score of Syrian Arab Republic in 2011?,SELECT data_products_score FROM spi_index_labelled_vFinal WHERE country = 'Syrian Arab Republic' AND date = 2011
Countries having Download Options Score between 0.2 and 0.3?,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.2 AND download_options_score < 0.3
List of average of Agriculture census?,SELECT avg(agriculture_census) FROM spi_index_labelled_vFinal
minimum of SDDS/e-GDDS subscription in Latin America & Caribbean?,SELECT min(sdds/e-gdds_subscription) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean'
count of Agriculture census in Middle East & North Africa.,SELECT count(agriculture_census) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa'
Countries having Machine Readability Score between 0.0 and 0.1,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.0 AND machine_readability_score < 0.1
Environmental Statistics of Denmark before 2006?,SELECT environmental_statistics FROM spi_index_labelled_vFinal WHERE date < 2006 AND country = 'Denmark'
Show me count of Classification of status of employment in South Asia.,SELECT count(classification_of_status_of_employment) FROM spi_index_labelled_vFinal WHERE region = 'South Asia'
"Show me population of Micronesia, Fed. Sts. in 2011","SELECT population FROM spi_index_labelled_vFinal WHERE country = 'Micronesia, Fed. Sts.' AND date = 2011"
count of Climate Action in East Asia & Pacific,SELECT count(climate_action) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific'
Download Options Score of Trinidad and Tobago in 2014,SELECT download_options_score FROM spi_index_labelled_vFinal WHERE country = 'Trinidad and Tobago' AND date = 2014
What is the Data Infrastructure Score and Metadata Available Score of Afghanistan since 2014?,"SELECT data_infrastructure_score , metadata_available_score FROM spi_index_labelled_vFinal WHERE date > 2014 AND country = 'Afghanistan'"
List of average of Health/Demographic survey in Europe & Central Asia?,SELECT avg(health/demographic_survey) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia'
Data Sources Score and Metadata Available Score of St. Vincent and the Grenadines since 2012,"SELECT data_sources_score , metadata_available_score FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'St. Vincent and the Grenadines'"
average of Climate Action in Middle East & North Africa in 2013.,SELECT avg(climate_action) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa' AND date = 2013
minimum of Compilation of monetary and financial statistics in Latin America & Caribbean.,SELECT min(compilation_of_monetary_and_financial_statistics) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean'
Data Service Score and Data Service Score of Haiti since 2009.,"SELECT data_service_score , data_service_score FROM spi_index_labelled_vFinal WHERE date > 2009 AND country = 'Haiti'"
Countries having Data Products Score between 5 and 33.,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 5 AND data_products_score < 33
What is the Countries having ODIN Open Data Openness Score between 0.0 and 0.8 in 2013?,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.0 AND odin_open_data_openness_score < 0.8 AND date = 2013
List ODIN Open Data Openness Score and ODIN Open Data Openness Score of Antigua and Barbuda since 2008?,"SELECT odin_open_data_openness_score , odin_open_data_openness_score FROM spi_index_labelled_vFinal WHERE date > 2008 AND country = 'Antigua and Barbuda'"
Countries having Download Options Score between 0.2 and 0.5 in 2004?,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.2 AND download_options_score < 0.5 AND date = 2004
total of Business process in Europe & Central Asia.,SELECT sum(business_process) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia'
iso3c of Cameroon after 2013.,SELECT iso3c FROM spi_index_labelled_vFinal WHERE date > 2013 AND country ='Cameroon'
count of Decent Work and Economic Growth in East Asia & Pacific?,SELECT count(decent_work_and_economic_growth) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific'
"What is the Non_Proprietary format Score and ODIN Open Data Openness Score of Yemen, Rep. since 2012.","SELECT non_proprietary_format_score , odin_open_data_openness_score FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'Yemen, Rep.'"
List Data Use Score of United Kingdom in 2015.,SELECT data_use_score FROM spi_index_labelled_vFinal WHERE country = 'United Kingdom' AND date = 2015
Top 46 countries by Gender Equality.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'gender_equality' DESC LIMIT 46
total of Affordable and Clean Energy,SELECT sum(affordable_and_clean_energy) FROM spi_index_labelled_vFinal
count Decent Work and Economic Growth by region.,"SELECT count(decent_work_and_economic_growth), region FROM spi_index_labelled_vFinal GROUP BY region"
Compilation of monetary and financial statistics and Decent Work and Economic Growth of Cabo Verde since 2014?,"SELECT compilation_of_monetary_and_financial_statistics , decent_work_and_economic_growth FROM spi_index_labelled_vFinal WHERE date > 2014 AND country = 'Cabo Verde'"
Show me Health/Demographic survey and Censuses only of Kiribati since 2018,"SELECT health/demographic_survey , censuses_only FROM spi_index_labelled_vFinal WHERE date > 2018 AND country = 'Kiribati'"
Countries having Machine Readability Score between 0.5 and 0.8 in 2008.,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.5 AND machine_readability_score < 0.8 AND date = 2008
Tell me the maximum of No Poverty.,SELECT max(no_poverty) FROM spi_index_labelled_vFinal
Countries having Data Products Score between 6 and 49?,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 6 AND data_products_score < 49
Find the Central government accounting status of Hungary in 2005?,SELECT central_government_accounting_status FROM spi_index_labelled_vFinal WHERE country = 'Hungary' AND date = 2005
Administrative Data of Central African Republic before 2004,SELECT administrative_data FROM spi_index_labelled_vFinal WHERE date < 2004 AND country = 'Central African Republic'
Quality Education of Kiribati in 2012.,SELECT quality_education FROM spi_index_labelled_vFinal WHERE country = 'Kiribati' AND date = 2012
List of minimum of Social Statistics in Middle East & North Africa.,SELECT min(social_statistics) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa'
SPI Overall Score of Ethiopia in 2013,SELECT spi_overall_score FROM spi_index_labelled_vFinal WHERE country = 'Ethiopia' AND date = 2013
Countries having SPI Overall Score between 31 and 36 in 2010.,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 31 AND spi_overall_score < 36 AND date = 2010
ODIN Open Data Openness Score and Terms of Use Score of Senegal since 2014?,"SELECT odin_open_data_openness_score , terms_of_use_score FROM spi_index_labelled_vFinal WHERE date > 2014 AND country = 'Senegal'"
Countries having Terms of Use Score between 0.0 and 0.1.,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.0 AND terms_of_use_score < 0.1
total of Decent Work and Economic Growth in Middle East & North Africa in 2014.,SELECT sum(decent_work_and_economic_growth) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa' AND date = 2014
total Legislation and governance by region.,"SELECT sum(legislation_and_governance), region FROM spi_index_labelled_vFinal GROUP BY region"
Top 14 countries by Business/establishment census?,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'business/establishment_census' DESC LIMIT 14
National Accounts base year of Senegal after 2008.,SELECT national_accounts_base_year FROM spi_index_labelled_vFinal WHERE date > 2008 AND country ='Senegal'
total of Gender Equality in Latin America & Caribbean in 2005.,SELECT sum(gender_equality) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean' AND date = 2005
Data Sources Score and Data Sources Score of Tajikistan since 2013?,"SELECT data_sources_score , data_sources_score FROM spi_index_labelled_vFinal WHERE date > 2013 AND country = 'Tajikistan'"
List of total of Business process in Middle East & North Africa in 2007,SELECT sum(business_process) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa' AND date = 2007
Top 20 countries by Classification of national industry,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'classification_of_national_industry' DESC LIMIT 20
Show me Health/Demographic survey and Finance of Tunisia since 2004,"SELECT health/demographic_survey , finance FROM spi_index_labelled_vFinal WHERE date > 2004 AND country = 'Tunisia'"
Countries having Data Service Score between 75 and 100 in 2009.,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 75 AND data_service_score < 100 AND date = 2009
Compilation of government finance statistics of Bangladesh after 2004.,SELECT compilation_of_government_finance_statistics FROM spi_index_labelled_vFinal WHERE date > 2004 AND country ='Bangladesh'
average Zero Hunger by region,"SELECT avg(zero_hunger), region FROM spi_index_labelled_vFinal GROUP BY region"
Data Sources Score of Cyprus in 2010,SELECT data_sources_score FROM spi_index_labelled_vFinal WHERE country = 'Cyprus' AND date = 2010
Download Options Score and Metadata Available Score of Gibraltar since 2008,"SELECT download_options_score , metadata_available_score FROM spi_index_labelled_vFinal WHERE date > 2008 AND country = 'Gibraltar'"
Find the count of Partnerships to achieve the Goal in 2011?,SELECT count(partnerships_to_achieve_the_goal) FROM spi_index_labelled_vFinal WHERE date = 2011
National Accounts base year of New Caledonia in 2012,SELECT national_accounts_base_year FROM spi_index_labelled_vFinal WHERE country = 'New Caledonia' AND date = 2012
income of Guyana in 2006,SELECT income FROM spi_index_labelled_vFinal WHERE country = 'Guyana' AND date = 2006
Countries having Non_Proprietary format Score between 0.0 and 0.1?,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.0 AND non_proprietary_format_score < 0.1
